FC5FAF -999 5239 -999 -999 -999 2000
-999 -999 4368 -999 -999 -999 2000
968000011666384 -999 6501 -999 -999 -999 2000
53CD -999 5760 -999 -999 -999 2000
FC5FAB -999 2390 -999 -999 -999 2000
FC5CB3 530 5112 -999 -999 -999 2004
5520 505 5487 -999 -999 -999 2004
0262E9 565 4919 -999 -999 -999 2004
678D 530 3840 -999 -999 -999 2004
FC60C0 490 2720 -999 -999 -999 2004
59D3 565 5304 -999 -999 -999 2004
620B 515 5669 -999 -999 -999 2004
62AF 525 5920 -999 -999 -999 2004
64E1 475 6260 -999 -999 -999 2004
FC5FA8 550 3764 -999 -999 -999 2004
65EB 510 6560 -999 -999 -999 2004
5691 515 5868 -999 -999 -999 2004
6301 535 4024 -999 -999 -999 2004
61E0 480 1280 -999 -999 -999 2004
5F23 520 4341 -999 -999 -999 2004
6754 540 8155 -999 -999 -999 2004
5400 525 8897 -999 -999 -999 2004
FC57AC 480 4809 -999 -999 -999 2004
54CF 530 6736 -999 -999 -999 2004
FC681B 505 3554 -999 -999 -999 2004
FC5E2D 449 4023 -999 -999 -999 2004
57AA 495 4572 -999 -999 -999 2004
FC59CE 525 4248 -999 -999 -999 2004
FC5BCF 510 2459 -999 -999 -999 2004
5C1C 515 3892 -999 -999 -999 2004
52C0 515 6846 -999 -999 -999 2004
FC655A -999 5321 -999 -999 -999 2005
FC594E -999 6332 -999 -999 -999 2005
FC5C3B -999 5625 -999 -999 -999 2005
FC60C8 -999 5839 -999 -999 -999 2005
FC5D31 -999 5762 -999 -999 -999 2005
FC57E2 -999 7188 -999 -999 -999 2005
968000011485294 -999 4584 -999 -999 -999 2005
FC658D -999 7872 -999 -999 -999 2005
FC609A -999 6695 -999 -999 -999 2005
FC61D1 -999 1956 -999 -999 -999 2005
FC5F79 -999 5107 -999 -999 -999 2005
FC5A79 -999 6847 -999 -999 -999 2005
FC617E -999 7112 -999 -999 -999 2005
FC5DE1 -999 13695 -999 -999 -999 2005
FC55F2 -999 2488 -999 -999 -999 2005
01FB33 500 3554 -999 -999 -999 2008
01F871 545 3592 -999 -999 -999 2008
01EC81 505 8273 -999 -999 -999 2008
B7F1F0 565 6330 -999 -999 -999 2008
FD5962 510 6832 -999 -999 -999 2008
B7EF8E 565 6692 -999 -999 -999 2008
FBE784 505 7945 -999 -999 -999 2008
B7E7DE 515 5460 -999 -999 -999 2008
968000011485478 540 1820 -999 -999 -999 2008
B7D818 540 4739 -999 -999 -999 2008
B7EE31 495 4572 -999 -999 -999 2008
8AA4A8 535 5121 -999 -999 -999 2008
B7D213 515 4938 -999 -999 -999 2008
B7E0A6 515 5304 -999 -999 -999 2008
B7CAC6 555 6063 -999 -999 -999 2008
FD66EE 485 5736 -999 -999 -999 2008
B7DB65 520 7305 -999 -999 -999 2008
B7D591 530 4856 -999 -999 -999 2008
B7F6B7 585 5672 -999 -999 -999 2008
B7F258 515 2459 -999 -999 -999 2008
B7C7C9 545 5281 -999 -999 -999 2008
B7CA74 520 2868 -999 -999 -999 2008
B7F732 535 6218 -999 -999 -999 2008
B7D65F 510 4967 -999 -999 -999 2008
B7EE88 545 6330 -999 -999 -999 2008
B7EB40 540 10811 -999 -999 -999 2008
B7EF3C 500 2377 -999 -999 -999 2008
FD5846 500 2560 -999 -999 -999 2008
B7C7E3 510 4391 -999 -999 -999 2008
8AB251 515 6454 -999 -999 -999 2008
B7D28A 545 2906 -999 -999 -999 2008
B7E805 575 3824 -999 -999 -999 2008
B7E92E 545 6931 -999 -999 -999 2008
8AA829 535 4694 -999 -999 -999 2008
8AA987 485 4694 -999 -999 -999 2008
8AB29B 490 3006 -999 -999 -999 2008
